data,best case,worst case
24-03-2020,2381,2493
25-03-2020,2762,3162
26-03-2020,3122,4009
27-03-2020,3446,5084
28-03-2020,3726,6446
29-03-2020,3958,8174
30-03-2020,4144,10364
31-03-2020,4290,13142
01-04-2020,4401,16664
02-04-2020,4486,21129
03-04-2020,4548,26792
04-04-2020,4595,33972
05-04-2020,4629,43076
06-04-2020,4654,54620
07-04-2020,4672,69257
08-04-2020,4685,87818
09-04-2020,4695,111352
10-04-2020,4702,141192
11-04-2020,4707,179030
12-04-2020,4711,227008
13-04-2020,4713,287843
14-04-2020,4715,364981
15-04-2020,4717,462791
16-04-2020,4718,586813
17-04-2020,4718,744070
18-04-2020,4719,943471
19-04-2020,4719,1196308
